
# Surface 0 of 1 surfaces

# Curve title: ""Ver000_contourtmp2.dat""

# Contour 0, label:      1.9
-0.153081  0.256237  1.9 
-0.157073  0.255079  1.9 
-0.255121  0.156736  1.9 
-0.256191  0.153039  1.9 
-0.255121  0.148379  1.9 
-0.229496  0.0509992  1.9 
-0.169043 -0.0510409  1.9 
-0.153081 -0.0698012  1.9 
-0.0698012 -0.153081  1.9 
-0.0510409 -0.169043  1.9 
 0.0509992 -0.229496  1.9 
 0.148379 -0.255121  1.9 
 0.153039 -0.256191  1.9 
 0.156736 -0.255121  1.9 
 0.255079 -0.157073  1.9 
 0.256237 -0.153081  1.9 
 0.255079 -0.14803  1.9 
 0.22954 -0.0510409  1.9 
 0.169032  0.0509992  1.9 
 0.153039  0.0697595  1.9 
 0.0697595  0.153039  1.9 
 0.0509992  0.169032  1.9 
-0.0510409  0.22954  1.9 
-0.14803  0.255079  1.9 
-0.153081  0.256237  1.9 


# Contour 1, label:      1.8
-0.255121  0.363809  1.8 
-0.269515  0.357119  1.8 
-0.357161  0.269685  1.8 
-0.363952  0.255079  1.8 
-0.365361  0.153039  1.8 
-0.357161  0.13084  1.8 
-0.326787  0.0509992  1.8 
-0.264244 -0.0510409  1.8 
-0.255121 -0.062185  1.8 
-0.175661 -0.153081  1.8 
-0.153081 -0.175661  1.8 
-0.062185 -0.255121  1.8 
-0.0510409 -0.264244  1.8 
 0.0509992 -0.326787  1.8 
 0.13084 -0.357161  1.8 
 0.153039 -0.365361  1.8 
 0.255079 -0.363952  1.8 
 0.269685 -0.357161  1.8 
 0.357119 -0.269515  1.8 
 0.363809 -0.255121  1.8 
 0.365326 -0.153081  1.8 
 0.357119 -0.13083  1.8 
 0.326833 -0.0510409  1.8 
 0.264348  0.0509992  1.8 
 0.255079  0.0623192  1.8 
 0.175634  0.153039  1.8 
 0.153039  0.175634  1.8 
 0.0623192  0.255079  1.8 
 0.0509992  0.264348  1.8 
-0.0510409  0.326833  1.8 
-0.13083  0.357119  1.8 
-0.153081  0.365326  1.8 
-0.255121  0.363809  1.8 


# Contour 2, label:      1.7
-0.255121  0.466726  1.7 
-0.287838  0.459159  1.7 
-0.357161  0.435873  1.7 
-0.435805  0.357119  1.7 
-0.459201  0.287426  1.7 
-0.466687  0.255079  1.7 
-0.459201  0.202139  1.7 
-0.452411  0.153039  1.7 
-0.40753  0.0509992  1.7 
-0.357161 -0.0269005  1.7 
-0.34136 -0.0510409  1.7 
-0.257587 -0.153081  1.7 
-0.255121 -0.155696  1.7 
-0.155696 -0.255121  1.7 
-0.153081 -0.257587  1.7 
-0.0510409 -0.34136  1.7 
-0.0269005 -0.357161  1.7 
 0.0509992 -0.40753  1.7 
 0.153039 -0.452411  1.7 
 0.202139 -0.459201  1.7 
 0.255079 -0.466687  1.7 
 0.287426 -0.459201  1.7 
 0.357119 -0.435805  1.7 
 0.435873 -0.357161  1.7 
 0.459159 -0.287838  1.7 
 0.466726 -0.255121  1.7 
 0.459159 -0.201614  1.7 
 0.452442 -0.153081  1.7 
 0.407568 -0.0510409  1.7 
 0.357119  0.0269676  1.7 
 0.341401  0.0509992  1.7 
 0.257602  0.153039  1.7 
 0.255079  0.155717  1.7 
 0.155717  0.255079  1.7 
 0.153039  0.257602  1.7 
 0.0509992  0.341401  1.7 
 0.0269676  0.357119  1.7 
-0.0510409  0.407568  1.7 
-0.153081  0.452442  1.7 
-0.201614  0.459159  1.7 
-0.255121  0.466726  1.7 


# Contour 3, label:      1.6
-0.459201  0.483053  1.6 
-0.483123  0.459159  1.6 
-0.543239  0.357119  1.6 
-0.555704  0.255079  1.6 
-0.532279  0.153039  1.6 
-0.482662  0.0509992  1.6 
-0.459201  0.0177809  1.6 
-0.41267 -0.0510409  1.6 
-0.357161 -0.117954  1.6 
-0.327838 -0.153081  1.6 
-0.255121 -0.230205  1.6 
-0.230205 -0.255121  1.6 
-0.153081 -0.327838  1.6 
-0.117954 -0.357161  1.6 
-0.0510409 -0.41267  1.6 
 0.0177809 -0.459201  1.6 
