
# Surface 0 of 1 surfaces

# Curve title: ""Ver000_contourtmp0.dat""

# Contour 0, label:      440
 22.22  0.436522  440 
 20.2821  0.333261  440 
 22.22  0.294376  440 
 29.2389  0.333261  440 
 22.22  0.436522  440 


# Contour 1, label:      420
 22.22  0.556214  420 
 22.1436  0.555471  420 
 18.0205  0.333261  420 
 22.22  0.248994  420 
 33.33  0.253509  420 
 34.5858  0.333261  420 
 33.33  0.356277  420 
 22.2533  0.555471  420 
 22.22  0.556214  420 


# Contour 2, label:      400
 22.22  0.613408  400 
 16.2727  0.555471  400 
 15.7588  0.333261  400 
 22.22  0.203612  400 
 32.7821  0.11105  400 
 33.33  0.102824  400 
 33.7423  0.11105  400 
 37.0944  0.333261  400 
 33.33  0.402255  400 
 24.81  0.555471  400 
 22.22  0.613408  400 


# Contour 3, label:      380
 11.11  0.565088  380 
 10.5071  0.555471  380 
 11.11  0.53268  380 
 13.4971  0.333261  380 
 22.22  0.15823  380 
 27.6036  0.11105  380 
 33.33  0.0250768  380 
 37.6391  0.11105  380 
 39.6031  0.333261  380 
 33.33  0.448233  380 
 27.3667  0.555471  380 
 22.22  0.670601  380 
 11.11  0.565088  380 


# Contour 4, label:      360
 11.11  0.644821  360 
 5.50886  0.555471  360 
 11.11  0.343739  360 
 11.2354  0.333261  360 
 22.22  0.112847  360 
 22.4251  0.11105  360 
 33.33 -0.0526705  360 
 41.5359  0.11105  360 
 42.1117  0.333261  360 
 33.33  0.494211  360 
 29.9235  0.555471  360 
 22.22  0.727795  360 
 11.11  0.644821  360 


# Contour 5, label:      340
 22.22  0.802327  340 
 20.4324  0.777681  340 
 11.11  0.724554  340 
 0.510622  0.555471  340 
 7.16345  0.333261  340 
 11.11  0.285012  340 
 19.7761  0.11105  340 
 22.22  0.0419407  340 
 32.1714 -0.11116  340 
 33.33 -0.194301  340 
 34.2765 -0.11116  340 
 44.44  0.0916293  340 
 47.6104  0.11105  340 
 44.9795  0.333261  340 
 44.44  0.337424  340 
 33.33  0.540189  340 
 32.4802  0.555471  340 
 22.6154  0.777681  340 
 22.22  0.802327  340 


# Contour 6, label:      320
 99.99  0.349991  320 
 99.1909  0.333261  320 
 88.88  0.184148  320 
 83.9168  0.11105  320 
 77.77  0.0812428  320 
 66.66  0.0803783  320 
 55.55  0.0898114  320 
 44.44  0.0153907  320 
 38.0975 -0.11116  320 
 36.3102 -0.33337  320 
 37.32 -0.55558  320 
 36.9923 -0.77779  320 
 33.33 -0.945927  320 
 30.8252 -1  320 

# Contour 7, label: 
 0  0.431729  320 
 2.98519  0.333261  320 
 11.11  0.233931  320 
 17.2314  0.11105  320 
 22.22 -0.0300185  320 
 27.4941 -0.11116  320 
 30.2285 -0.33337  320 
 28.7745 -0.55558  320 
 22.22 -0.730792  320 
 20.456 -0.77779  320 
 13.1681 -1  320 

# Contour 8, label: 
 0  0.614092  320 
 9.80425  0.777681  320 
 11.11  0.969098  320 
 22.22  0.995224  320 
 25.7101  0.777681  320 
 33.33  0.60287  320 
 35.4899  0.555471  320 
 44.44  0.395316  320 
 52.4826  0.333261  320 
 55.55  0.215412  320 
 66.66  0.235991  320 
 72.7135  0.333261  320 
 77.77  0.381102  320 
