
# Surface 0 of 1 surfaces

# Curve title: ""Ver000_contourtmp1.dat""

# Contour 0, label:      1.4
 0.555 -0.449804  1.4 
 0.449126 -0.556  1.4 
 0.555 -0.71949  1.4 
 0.718373 -0.556  1.4 
 0.555 -0.449804  1.4 

# Contour 1, label: 
-0.556  0.718373  1.4 
-0.71949  0.555  1.4 
-0.556  0.449126  1.4 
-0.449804  0.555  1.4 
-0.556  0.718373  1.4 


# Contour 2, label:      1.3
 0.555 -0.296408  1.3 
 0.296195 -0.556  1.3 
 0.555 -0.955645  1.3 
 0.954359 -0.556  1.3 
 0.555 -0.296408  1.3 

# Contour 3, label: 
-0.556  0.954359  1.3 
-0.955645  0.555  1.3 
-0.556  0.296195  1.3 
-0.296408  0.555  1.3 
-0.556  0.954359  1.3 


# Contour 4, label:      1.2
 0.555 -0.143012  1.2 
 0.143263 -0.556  1.2 
 0.555 -1.1918  1.2 
 1.19034 -0.556  1.2 
 0.555 -0.143012  1.2 

# Contour 5, label: 
-0.556  1.19034  1.2 
-1.1918  0.555  1.2 
-0.556  0.143263  1.2 
-0.143012  0.555  1.2 
-0.556  1.19034  1.2 


# Contour 6, label:      1.1
 0.555  0.0103837  1.1 
-0.00966799 -0.556  1.1 
 0.555 -1.42795  1.1 
 1.42633 -0.556  1.1 
 0.555  0.0103837  1.1 

# Contour 7, label: 
-0.556  1.42633  1.1 
-1.42795  0.555  1.1 
-0.556 -0.00966799  1.1 
 0.0103837  0.555  1.1 
-0.556  1.42633  1.1 


# Contour 8, label:        1
 0.555  0.16378  1 
-0.162599 -0.556  1 
 0.555 -1.66411  1 
 1.66232 -0.556  1 
 0.555  0.16378  1 

# Contour 9, label: 
-0.556  1.66232  1 
-1.66411  0.555  1 
-0.556 -0.162599  1 
 0.16378  0.555  1 
-0.556  1.66232  1 


# Contour 10, label:      0.9
 4.999  0.463953  0.9 
 3.888  0.247003  0.9 
 3.03354 -0.556  0.9 
 2.777 -0.663976  0.9 
 1.666 -0.681129  0.9 
 0.68051 -1.667  0.9 
 0.663238 -2.778  0.9 
 0.555 -3.03484  0.9 
-0.248217 -3.889  0.9 
-0.466254 -5  0.9 

# Contour 11, label: 
 4.999  0.614797  0.9 
 3.888  0.680376  0.9 
 3.32688  0.555  0.9 
 2.777 -0.0626341  0.9 
 1.666 -0.36559  0.9 
 0.555  0.317175  0.9 
-0.315531 -0.556  0.9 
 0.36415 -1.667  0.9 
 0.0614926 -2.778  0.9 
-0.556 -3.32842  0.9 
-0.681149 -3.889  0.9 
-0.614852 -5  0.9 

# Contour 12, label: 
 0.614797  4.999  0.9 
 0.680376  3.888  0.9 
 0.555  3.32688  0.9 
-0.0626341  2.777  0.9 
-0.36559  1.666  0.9 
 0.317175  0.555  0.9 
-0.556 -0.315531  0.9 
-1.667  0.36415  0.9 
-2.778  0.0614926  0.9 
-3.32842 -0.556  0.9 
-3.889 -0.681149  0.9 
-5 -0.614852  0.9 

# Contour 13, label: 
 0.463953  4.999  0.9 
 0.247003  3.888  0.9 
-0.556  3.03354  0.9 
-0.663976  2.777  0.9 
-0.681129  1.666  0.9 
-1.667  0.68051  0.9 
-2.778  0.663238  0.9 
-3.03484  0.555  0.9 
-3.889 -0.248217  0.9 
-5 -0.466254  0.9 


# Contour 14, label:      0.8
 4.999  0.279387  0.8 
 3.888 -0.0829765  0.8 
 3.38467 -0.556  0.8 
 2.777 -0.811758  0.8 
 1.666 -0.808243  0.8 
 0.807575 -1.667  0.8 
 0.811156 -2.778  0.8 
 0.555 -3.38584  0.8 
 0.0818505 -3.889  0.8 
-0.281288 -5  0.8 

# Contour 15, label: 
 4.999  0.736016  0.8 
 3.888  0.8147  0.8 
 2.777  0.571837  0.8 
 2.75234  0.555  0.8 
 1.666 -0.172159  0.8 
 0.555  0.470571  0.8 
-0.468462 -0.556  0.8 
 0.170935 -1.667  0.8 
-0.556 -2.75362  0.8 
-0.572648 -2.778  0.8 
-0.815359 -3.889  0.8 
-0.736147 -5  0.8 

# Contour 16, label: 
 0.736016  4.999  0.8 
 0.8147  3.888  0.8 
 0.571837  2.777  0.8 
 0.555  2.75234  0.8 
-0.172159  1.666  0.8 
 0.470571  0.555  0.8 
-0.556 -0.468462  0.8 
-1.667  0.170935  0.8 
-2.75362 -0.556  0.8 
-2.778 -0.572648  0.8 
-3.889 -0.815359  0.8 
-5 -0.736147  0.8 

# Contour 17, label: 
 0.279387  4.999  0.8 
-0.0829765  3.888  0.8 
-0.556  3.38467  0.8 
-0.811758  2.777  0.8 
-0.808243  1.666  0.8 
-1.667  0.807575  0.8 
-2.778  0.811156  0.8 
-3.38584  0.555  0.8 
-3.889  0.0818505  0.8 
-5 -0.281288  0.8 


# Contour 18, label:      0.7
-5 -0.857443  0.7 
-3.889 -0.949569  0.7 
-2.778 -0.769849  0.7 
-2.4648 -0.556  0.7 
-1.667 -0.0222803  0.7 
-0.704927 -0.556  0.7 
-0.556 -0.704927  0.7 
-0.0222803 -1.667  0.7 
-0.556 -2.4648  0.7 
-0.769849 -2.778  0.7 
-0.949569 -3.889  0.7 
